年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2010,3,1583,程泰,敬 業 聯 合 會 計 師 事 務 所,王日春,黃勝義,99/10/20,保留(附加其他事項說明段)--依被投資公司未經會計師查核報告認列投資損益
2010,3,1603,華電,勤業眾信聯合會計師事務所,劉江抱,張瑞娜,99/10/21,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1604,聲寶,勤業眾信聯合會計師事務所,龔雙雄,陳慧銘,99/10/21,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1605,華新,勤業眾信聯合會計師事務所,邱明玉,盧啟昌,99/10/22,標準式無保留核閱報告
2010,3,1608,華榮,安侯建業聯合會計師事務所,楊博任,許振隆,99/10/20,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1609,大亞電線,群 智 聯 合 會 計 師 事 務 所,黃奕睿,呂松裕,99/10/31,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1611,中電,群信聯 合 會 計 師 事 務 所,謝文益,張誌銘,99/10/21,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1612,宏泰,安永聯合會計師事務所,佟韻玲,張志銘,99/10/12,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1613,台一,安侯建業聯合會計師事務所,曾國禓,簡蒂暖,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1614,三洋電,第一聯合會計師事務所,高佩,王戊昌,99/10/11,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1615,大山,安侯建業聯合會計師事務所,連淑凌,楊柳鋒,99/10/26,保留(附加其他事項說明段)--欲強調某一事項、依被投資公司未經會計師查核報告認列投資損益
2010,3,1616,億泰,安侯建業聯合會計師事務所,魏忠華,陳振乾,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
