年,公司代號,公司名稱,股利所屬年度,權利分派基準日,盈餘轉增資配股(元/股),法定盈餘公積、資本公積轉增資配股(元/股),除權交易日,配股總股數(股),配股總金額(元),配股總股數佔盈餘配股總股數之比例(%),員工紅利配股率,盈餘分配之股東現金股利(元/股),法定盈餘公積、資本公積發放之現金(元/股),除息交易日,現金股利發放日,員工紅利總金額(元),現金增資總股數(股),現金增資認股比率(%),現金增資認購價(元/股),董監酬勞(元),公告日期,公告時間,普通股每股面額
2005,1521,大億,93,94/07/17, , , , , , ,0,3.5,0,94/07/11, ,"          2,515,290", , , ,                  0,94/06/27,16:51:56,新台幣                 10.0000元
2005,1522,堤維西,93,94/08/19,1.2,0,94/08/11,                  0,                      0,0.00,0,0.3,0,94/08/11, ,"          2,942,840",                  0,0,          0.00,"          5,000,000",94/07/25,13:17:25,新台幣                 10.0000元
2005,1523,臺灣開億,93,94/08/27,0,0.2,94/08/19,                  0,                      0,0.00,0,1.8,0,94/08/19, ,"          2,790,217",                  0,0,          0.00,"          8,370,650",94/07/29,16:50:33,新台幣 10.0000元
2005,1524,耿鼎企業,93,94/08/07,0.697,0,94/08/01,                  0,                      0,0.00,0,0.5974,0,94/08/01, ,                  0,                  0,0,          0.00,"          2,927,090",94/07/20,10:43:07,新台幣                 10.0000元
2005,1525,江申工業,93,94/07/13,1,0,94/07/07,                  0,                      0,0.00,0,0.5,0,94/07/07, ,"          6,786,965",                  0,0,          0.00,"          1,357,393",94/06/21,15:03:17,新台幣                 10.0000元
2005,1527,鑽全,93,94/07/13,0.2,0,94/07/07,"          1,700,034","             17,000,340",36.51,0.01149928,4,0,94/07/07, ,                  0,                  0,0,          0.00,"          7,500,000",94/06/23,14:53:42,新台幣                 10.0000元
2005,1528,恩德,93,94/08/24,0.15,0.1,94/08/18,"            145,000","              1,450,000",11.50,0.00195418,0.3,0,94/08/18, ,"          2,344,271",                  0,0,          0.00,"          1,138,281",94/08/04,08:40:07,新台幣                 10.0000元
2005,1530,亞崴機電,93,94/08/15,1,0,94/08/09,"            469,170","              4,691,700",8.16,0.00888844,2.2,0,94/08/09, ,"         10,322,501",                  0,0,          0.00,"          3,753,550",94/07/20,15:31:35,新台幣                 10.0000元
2005,1531,高林股,93,94/09/01,0.5,0,94/08/25,"            315,072","              3,150,720",4.34,0.00227014,1.5,0,94/08/25, ,"          9,452,147",                  0,0,          0.00,"          9,452,150",94/08/09,09:59:24,新台幣                 10.0000元
2005,1532,勤美,93,94/07/12,0,0,94/07/06,                  0,                      0,0.00,0, , , , , ,"          7,272,730",3.40299662,         24.00,"         14,731,357",94/06/23,11:01:09,新台幣                 10.0000元
2005,1532,勤美,93,94/08/25,0.6684,0.0954,94/08/18,"            500,000","              5,000,000",4.01,0.00279291,1.90986194,0,94/08/18, ,"          9,731,357",                  0,0,          0.00,"         14,731,357",94/08/09,16:10:18,新台幣                 10.0000元
2005,1533,車王電,93,94/08/30, , , , , , ,0,0.6,0,94/08/24, ,                  0, , , ,-,94/08/09,09:59:48,新台幣                 10.0000元
2005,1535,中宇,93,94/07/24, , , , , , ,0,0.6,0,94/07/18, ,"          1,723,870", , , ,"          1,650,000",94/06/29,15:29:59,新台幣                 10.0000元
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,1536,和大工業,93,94/08/20,1.008925,0,94/08/12,"            467,300","              4,673,000",5.60,0.00606805,0,0, , ,                  0,                  0,0,          0.00,"          2,804,000",94/07/29,13:29:56,新台幣                 10.0000元
2005,1537,廣隆光電,93,94/09/09,0.255,0,94/09/01,                  0,                      0,0.00,0,0.25,0,94/09/01, ,                  0,                  0,0,          0.00,-,94/08/18,12:01:35,新台幣                 10.0000元
