"公司代號","公司簡稱","簽證會計師事務所名稱","簽證會計師","簽證會計師","核閱或查核日期","核閱或查核報告類型"
"1805","寶徠","資信聯合 會 計 師 事 務 所","陳功源","吳(日告)(巾ˊ几)","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1806","冠軍","安侯建業會計師事務所","曾國禓","林瞳","2006/04/22","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1808","潤隆","安侯建業會計師事務所","林  瞳","曾國禓","2006/04/20","??????????"??????????"修正式無保留核閱報告--欲強調某一事項"
"1809","中釉","致 遠 會 計 師 事 務 所","楊文安","佟韻玲","2006/04/19","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1810","和成","安侯建業 會 計 師 事 務 所","江忠儀","許淑敏","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"

"1902","台紙","勤業眾信會計師事務所","蔡振財","張清福","2006/04/17","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1903","士紙","惠眾會計師事務所","卓敏枝","李伯承","2006/04/24","??????????"??????????"標準式無保留核閱報告 "
"1904","正隆","安侯建業會計師事務所","黃耀明","顏幸福","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1905","華紙","安 侯 建 業 會 計 師 事 務 所","黃柏淑會計師","羅子強會計師","2006/04/14","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1906","寶隆","立本台灣聯合會計師事務所","會計師:陶鴻文","會計師:曾炳霖","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1907","永豐餘","勤業眾信會計師事務所","郭政弘","邵志明","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1909","榮成","立本台灣聯合會計師事務所","陶鴻文","曾炳霖","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2002","中鋼","勤業眾信會計師事務所","龔俊吉","魏永篤","2006/04/14","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2006","東和鋼鐵","安侯建業會計師事務所","李慈慧","吳秋華","2006/04/27","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2007","燁興公司","正風聯合會計師事務所","賴永吉","周銀來","2006/04/25","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"2008","高興昌","安侯建業會計師事務所","楊博任","陳惠媛","2006/04/17","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2009","第一伸銅","安侯建業會計師事務所","王明志","陳國宗","2006/04/19","??????????"??????????"修正式無保留核閱報告--會計原則變動"
"2010","春源鋼鐵","第 一 聯 合 會 計 師 事 務 所","林克武","林志隆","2006/04/17","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2012","春雨","建興聯合會計師事務所","謝仁耀","黃鈴雯","2006/04/26","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"2013","中鋼構","勤業眾信會計師事務所","郭麗園","江佳玲","2006/04/13","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2014","中鴻","勤業眾信會計師事務所","龔俊吉","許芳益","2006/04/12","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2015","豐興鋼鐵","致遠 會 計 師 事 務 所","游朝堂 (YYY代表會計?","嚴文筆 (YYY代表會計?","2006/04/17","??????????"??????????"修正式無保留核閱報告--會計原則變動"
"2017","官田鋼","勤業眾信會計師事務所","黃李松","龔俊吉","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2020","美亞鋼管","鼎信聯合會計師事務所","林春枝","黃志成","2006/04/20","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"2022","聚亨","正風聯合會計師事務所","黃國師","周銀來","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2023","燁輝","建 興 聯 合 會 計 師 事 務 所","謝仁耀","蔡淑滿","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2024","志聯工業","安侯建業 會 計 師 事 務 所","黃柏淑","許育峰","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2025","千興","資誠會計師事務所","洪麗蓉","林億彰","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2027","大成鋼","勤業眾信會計師事務所","李季珍","黃李松","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2028","威致鋼鐵","建興聯合會計師事務所","蔡淑滿","黃鈴雯","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2029","盛餘","勤業眾信會計師事務所","龔俊吉","許芳益","2006/04/17","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2030","彰源","勤業眾信會計師事務所","成德潤","羅瑞霖","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2031","新光鋼","勤業眾信會計師事務所","周以隆","翁榮隨","2006/04/16","??????????"??????????"標準式無保留核閱報告 "
"2032","新鋼工業","第 一 聯 合 會 計 師 事 務 所","林美玲(會計師1之姓名","王戊昌(會計師2之姓名","2006/04/19","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"2033","佳大世界","建 誠 聯 合 會 計 師 事 務 所","林敏雄","李文達","2006/04/22","??????????"??????????"標準式無保留核閱報告 "
"2034","允強","中國財務會計師事務所","柯天賜","吳靜儒","2006/04/19","??????????"??????????"標準式無保留核閱報告 "


"2059","川湖","勤業眾信會計師事務所","郭麗園","曾光敏","2006/04/19","??????????"??????????"修正式無保留核閱報告--欲強調某一事項"


"2101","南港輪胎","正 風 聯 合 會 計 師 事 務 所","黃國師","周銀來","2006/04/21","??????????"??????????"修正式無保留核閱報告--欲強調某一事項"
"2102","泰豐輪胎","資誠會計師事務所","林鈞堯","翁世榮","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2103","台橡","安侯建業會計師事務所","楊美雪","俞安恬","2006/04/12","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"2104","中橡","勤業眾信會計師事務所","吳美慧","黃瑞展","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2105","正新","資誠會計師事務所","蕭珍琪","洪淑華","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2106","建大","鼎信聯合會計師事務所","蕭溪明","黃素絹","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2107","厚生","正風聯合會計師事務所","徐素琴","黃國師","2006/04/17","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2108","南帝化工","資誠會計師事務所","李明憲","劉子猛","2006/04/14","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2109","華豐橡膠","群 智 合 會 計 師 事 務 所","黃 春 生","陳 郁 惠","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2114","鑫永銓","資誠會計師事務所","蕭珍琪","楊明經","2006/04/15","??????????"??????????"修正式無保留核閱報告--會計原則變動"

"2201","裕隆汽車","勤業眾信會計師事務所","郭俐雯","范有偉","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2204","中華汽車","勤業眾信會計師事務所","郭政弘","邵志明","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2206","三陽工業","安侯建業會計師事務所","曾國禓","賴麗真","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2207","和泰汽車","資誠會計師事務所","陳美姿","高文宏","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"

"2227","裕隆日產","勤 業 眾 信 會 計 師 事 務 所","謝建新(YYY代表會計師","吳恩銘(YYY代表會計師","2006/04/19","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"




"2301","光寶科技","勤業眾信會計師事務所","陳清祥","魏永篤","2006/04/17","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2302","麗正","安 侯 建 業 會 計 師 事 務 所","張 淑 瑩","陳 嘉 修","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2303","聯電","致遠會計師事務所","王金來","李明昱","2006/04/14","??????????"??????????"修正式無保留核閱報告--採用其他會計師查核且欲區分責任"
"2305","全友電腦","安侯建業會計師事務所","吳惠蘭","曾渼鈺","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2308","台達電","資誠會計師事務所","蔡金拋","曾惠瑾","2006/04/18","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2311","日月光","勤業眾信會計師事務所","江佳玲","曾光敏","2006/04/21","??????????"??????????"修正式無保留核閱報告--欲強調某一事項"
"2312","金寶電子","立本台灣聯合會計師事務所","陳玉芳","柯俊榮","2006/04/16","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"2313","華通","正風聯合會計師事務所","丁鴻勛","黃國師","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2314","台揚科技","資誠會計師事務所","溫芳郁","王偉臣","2006/04/18","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2316","楠梓電","勤 業 眾 信 會 計 師 事 務 所","江佳玲","曾光敏","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2317","鴻海","資誠會計師事務所","薛明玲","曾惠瑾","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2321","東訊","資誠會計師事務所","林玉寬","王偉臣","2006/04/27","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2323","中環","資誠會計師事務所","蔡金拋","林鈞堯","2006/04/27","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2324","仁寶電腦","安侯建業會計師事務所","羅瑞蘭","黃耀明","2006/04/17","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2325","矽品","資誠會計師事務所","王偉臣","洪淑華","2006/04/13","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"2327","國巨","勤業眾信會計師事務所","謝建新","吳恩銘","2006/04/26","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"2328","廣宇","資誠會計師事務所","徐永堅","黎昌州","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2329","華泰電子","致遠會計師事務所","吳健源","蔡清典","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2330","台積電","勤業眾信會計師事務所","黃鴻文","張銘政","2006/04/13","??????????"??????????"標準式無保留核閱報告 "
"2331","精英","勤業眾信會計師事務所","王小蕙","郭慈容","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2332","友訊科技","安侯建業會計師事務所","高渭川","魏興海","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2337","旺宏","致 遠 會 計 師 事 務 所","葉 惠 心","鄧 泗 堂","2006/04/14","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2338","光罩","資誠會計師事務所","曾國華","王偉臣","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2340","光磊","致 遠 會 計 師 事 務 所","李 秀 玲","鄧 泗 堂","2006/04/18","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2342","茂矽","調和聯合會計師事務所","卓傳陣","郭思琪","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2344","華邦電","勤業眾信會計師事務所","盧啟昌","洪國田","2006/04/10","??????????"??????????"修正式無保留核閱報告--欲強調某一事項"
"2345","智邦科技","勤業眾信會計師事務所","黃裕峰","魏永篤","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2347","聯強國際","資誠會計師事務所","吳郁隆","李燕松","2006/04/21","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"2348","海悅","勤業眾信會計師事務所","郭俐雯","戴信維","2006/04/17","??????????"??????????"修正式無保留核閱報告--會計原則變動"
"2349","錸德科技","致 遠 會 計 師 事 務 所","楊文安","佟韻玲","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2351","順德","鼎 信 聯 合 會 計 師 事 務 所","林明壽","楊 貞 瑜","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2352","佳世達","安侯建業會計師事務所","唐慈杰","羅子強","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2353","宏碁","安侯建業會計師事務所","羅  子  強","于　紀　隆","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2354","鴻準","資誠會計師事務所","曾惠瑾","徐永堅","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2355","敬鵬","安 侯 建 業 會 計 師 事 務 所","俞 安 恬","關 春 修","2006/04/11","???????"???????"保留式核閱報告--其他"
"2356","英業達","安侯建業會計師事務所","林賢郎","楊柳鋒","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2357","華碩","致遠會計師事務所","李明昱","陳慕賢","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2358","廷鑫","勤業眾信會計師事務所","韋亮發","王小蕙","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2359","所羅門","資誠會計師事務所","張明輝","周筱姿","2006/04/27","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2360","致茂電子","勤業眾信會計師事務所","范有偉","張銘政","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2362","藍天","致遠會計師事務所","洪慶山","陳添益","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2363","矽統科技","致 遠 會 計 師 事 務 所","王金來","張嵐菁","2006/04/10","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2364","倫飛電腦","安 侯 建 業 會 計 師 事 務 所","黃柏淑","林秀玉","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2365","昆盈企業","勤業眾信會計師事務所","吳美慧","張日炎","2006/04/14","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2367","燿華","安侯建業會計師事務","林恒昇","吳清堅","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2368","金像電","眾信聯合會計師事務所","仲  偉會計師","陳昭伶會計師","2005/04/14","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2369","菱生","勤業眾信會計師事務所","呂惠民","成德潤","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2371","大同","致 遠 會 計 師 事 務 所","王金來","張嵐菁","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2373","震旦行","勤業眾信會計師事務所","劉永富","涂三遷","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2374","佳能","致 遠 會 計 師 事 務 所","黃學平","阮呂艷","2006/04/28","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2375","智寶","勤 業 眾 信 會 計 師 事 務 所","吳恩銘","施景彬","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2376","技嘉","資誠會計師事務所","陳美姿","蕭金木","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2377","微星科技","資誠會計師事務所","張明輝","周筱姿","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2379","瑞昱","資 誠 會 計 師 事 務 所","曾國華 (YYY代表會計?","王偉臣 (YYY代表會計?","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2380","虹光精密","資誠會計師事務所","溫芳郁","劉銀妃","2006/04/19","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2382","廣達","安侯建業 會 計 師 事 務 所","江忠儀","連淑凌","2006/04/22","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2383","台光電子","安侯建業會計師事務所","楊柳鋒(YYY代表會計師","連淑凌(YYY代表會計師","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2385","群光電子","資誠會計師事務所","李燕松","王輝賢","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2387","精元電腦","資誠會計師事務所","蕭珍琪","洪淑華","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2388","威盛電子","勤業眾信會計師事務所","楊民賢","王自軍","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2390","云辰","致遠會計師事務所","洪慶山","陳添益","2006/04/17","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2392","正崴","資誠會計師事務所","周筱姿","張明輝","2006/04/30","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2393","億光電子","安侯建業會計師事務所","黃耀明","區耀軍","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2395","研華","勤 業 眾 信 會 計 師 事 務 所","陳清祥","林安惠","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2397","友通資訊","勤業眾信會計師事務所","吳恩銘","施景彬","2006/04/14","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2399","映泰","勤業眾信會計師事務所","廖 如 陽","翁 榮 隨","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2401","凌陽科技","勤業眾信會計師事務所","黃鴻文","黃樹傑","2006/04/12","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2402","毅嘉科技","勤業眾信會計師事務所","陳慧銘","林宜慧","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2404","漢唐","安 侯 建 業 會 計 師 事 務 所","方燕玲","李宗霖","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2405","浩鑫","勤 業 眾 信  會 計 師 事 務 所","吳 恩 銘","謝 建 新","2006/04/26","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"2406","國碩科技","致 遠 會 計 師 事 務 所","張庭銘","曾瑞燕","2006/04/27","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2408","南亞科","安侯建業會計師事務所","李慈慧","寇惠植","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2409","友達","安侯建業會計師事務所","曾渼鈺會計師","魏忠華會計師","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2412","中華電","勤業眾信會計師事務所","吳恩銘","魏永篤","2006/04/15","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2413","環科","致 遠 會 計 師 事 務 所","游朝堂","林奇威","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2414","精技電腦","致遠會計師事務所","李明昱","陳慕賢","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2415","錩新","勤業眾信會計師事務所","殷仲偉","王小蕙","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2417","圓剛","勤業眾信會計師事務所","林文欽","盧啟昌","2006/04/14","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2419","仲琦","立本台灣聯合會計師事務所","劉克宜","張書成","2006/03/31","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"2420","新巨","安 侯 建 業 會 計 師 事 務 所","楊柳鋒","江忠儀","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2421","建準電機","建興聯合會計師事務所","劉吉雄","黃鈴雯","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2423","固緯","致遠會計師事務所","鄧泗堂","蕭翠慧","2006/04/13","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2424","隴華電子","勤 業 眾 信 會 計 師 事 務 所","張敬人","李東峰","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2425","承啟","勤 業 眾 信 會 計 師 事 務 所","江佳玲","郭麗園","2006/04/16","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2426","鼎元","勤業眾信會計師事務所","陳錦章","林宗燕","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2427","三商電腦","立本台灣聯合會計師事務所","劉克宜","張書成","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2428","興勤電子","勤業眾信會計師事務所","江佳玲","吳秋燕","2006/04/21","??????????"??????????"修正式無保留核閱報告--欲強調某一事項"
"2429","銘旺科","冠恆會計師事務所","張進德","周芳文","2006/04/21","??????????"??????????"修正式無保留核閱報告--採用其他會計師查核且欲區分責任"
"2430","燦坤實業","勤 業 眾 信 會 計 師 事 務 所","仲  偉","涂三遷","2006/04/30","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2431","聯昌電子","資誠會計師事務所","曾惠瑾( 代表會計師1?","支秉鈞( 代表會計師2?","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2433","互盛電","勤業眾信會計師事務所","陳杰忠(YYY代表會計師","涂三遷 (YYY代表會計?","2006/04/14","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2434","統懋","勤業眾信會計師事務所","李季珍","黃李松","2006/04/13","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2436","偉詮電","勤業眾信會計師事務所","黃鴻文","黃樹傑","2006/04/13","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2437","旺詮","勤 業 眾 信 會 計 師 事 務 所","吳秋燕","郭麗園","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2438","翔耀實業","第一聯合 會 計 師 事 務 所","林志隆","甘有財","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2439","美律","資誠會計師事務所","楊明經","洪淑華","2006/04/17","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2440","太空梭","立本台灣聯合會計師事務所","許坤錫","劉克宜","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2441","超豐電子","勤 業 眾 信 會 計 師 事 務 所","葉東煇","黃鴻文","2006/04/20","??????????"??????????"修正式無保留核閱報告--欲強調某一事項"
"2442","新美齊","安 侯 建 業 會 計 師 事 務 所","李慈慧","寇惠植","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2443","新利虹","勤業眾信會計師事務所","張榮銘 (YYY代表會計?","蔡美貞 (YYY代表會計?","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2444","友旺科技","勤業眾信會計師事務所","林宗燕","蔡美貞","2006/04/14","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2448","晶電","資誠會計師事務所","溫芳郁","王偉臣","2006/04/18","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2449","京元電子","致 遠 會 計 師 事 務 所","楊建國","黃益輝","2006/04/14","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"2450","神腦","資誠會計師事務所","周筱姿","張明輝","2006/04/15","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2451","創見資訊","資誠會計師事務所","蔡金拋","杜佩玲","2006/04/19","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2453","凌群","勤 業 眾 信 會 計 師 事 務 所","郭俐雯","黃樹傑","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2454","聯發科","致 遠 會 計 師 事 務 所","葉惠心","張庭銘","2006/04/20","??????????"??????????"修正式無保留核閱報告--欲強調某一事項"
"2455","全新","資誠會計師事務所","王嘉瑜(YYY代表會計師","蕭金木(YYY代表會計師","2006/04/21","??????????"??????????"修正式無保留核閱報告--會計原則變動、前期由其他會計師查核"
"2456","奇力新","勤 業 眾 信 會 計 師 事 務 所","吳恩銘","陳招美","2006/04/14","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2457","飛宏科技","勤業眾信會計師事務所","洪國田","盧啟昌","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2458","義隆","安侯建業會計師事務所","黃耀明 會計師","周寶蓮 會計師","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2459","敦吉","致遠會計師事務所","王金來","張嵐菁","2005/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2460","建通精密","勤業眾信會計師事務所","吳秋燕","曾光敏","2006/04/14","??????????"??????????"修正式無保留核閱報告--欲強調某一事項"
"2461","光群雷射","勤業眾信會計師事務所","盧啟昌 (YYY代表會計?","邱明玉 (YYY代表會計?","2006/04/14","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2462","良得電","資誠會計師事務所","王嘉瑜","周筱姿","2006/04/27","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2464","盟立","勤業眾信會計師事務所","黃鴻文","黃樹傑","2006/04/14","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2465","麗臺科技","安侯建業會計師事務所","羅瑞蘭","黃耀明","2006/04/19","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2466","冠西電","勤業眾信會計師事務所","施景彬","卓明信","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"2467","志聖工業","勤 業 眾 信 會 計 師 事 務 所","賴國旺","鄧治萍","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
