,Unnamed: 0,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師.1,核閱或查核日期,核閱或查核報告類型
124,124,1558,伸興,致遠會計師事務所,嚴文筆,林奇威,2006/07/28,"????????""保留意見--適用新公報、依被投資公司未經會計師查核報告認列投資損益"""
125,125,1560,中砂,勤業眾信會計師事務所,張清福,陳清祥,2006/07/31,"??????????""無保留意見 """
126,126,1568,倉佑,勤業眾信會計師事務所,賴國旺,鄧治萍,2006/08/12,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
127,127,1582,信錦,勤 業 眾 信 會 計 師 事 務 所,李東峰,張敬人,2006/08/22,"??????????""無保留意見 """
128,128,1603,華電,勤業眾信會計師事務所,蕭天厚,張淑慧,2006/08/04,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
129,129,1604,聲寶,勤 業 眾 信 會 計 師 事 務 所,龔  雙  雄,楊　民　賢,2006/08/19,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
130,130,1605,華新,勤業眾信會計師事務所,邱明玉,盧啟昌,2006/07/31,"????????????????""修正式無保留意見--欲強調某一事項"""
131,131,1608,華榮,安侯建業會計師事務所,王明志,陳國宗,2006/08/09,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
132,132,1609,大亞電線,群 智 聯 合 會 計 師 事 務 所,黃奕睿,莊景福,2006/08/08,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
133,133,1611,中電,群信聯 合 會 計 師 事 務 所,李仍晃,謝文益,2006/08/18,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
134,134,1612,宏泰,致遠會計師事務所,楊文安,黃素珍,2006/07/21,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
135,135,1613,台一,安侯建業會計師事務所,張淑瑩,賴麗真,2006/08/30,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
136,136,1614,三洋電,第一聯合會計師事務所,高佩,張福郎,2006/08/04,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
137,137,1615,大山,安侯建業會計師事務所,連淑凌,楊柳鋒,2006/08/21,"??????????""無保留意見 """
138,138,1616,億泰,安侯建業會計師事務所,魏忠華,羅瑞蘭,2006/08/24,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、欲強調某一事項"""
139,139,1617,榮星電線,安 侯 建 業 會 計 師 事 務 所,蘇慈玲,陳惠媛,2006/08/11,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
140,140,1618,合機公司,勤 業 眾 信 會 計 師 事 務 所,楊清鎮,翁榮隨,2006/08/23,"????????????????""修正式無保留意見--欲強調某一事項"""
141,141,1701,中化,致遠會計師事務所,阮 呂 艷,何 志 儒,2006/08/22,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
142,142,1702,南僑化工,安侯建業 聯 合 會 計 師 事 務 所,俞安恬,許育峰,2006/08/25,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
143,143,1704,榮化,德 昌 聯 合 會 計 師 事 務 所,朱 威 任(YYY代表會計,林 建 邦(YYY代表會計,2006/08/09,"??????????""無保留意見 """
144,144,1707,葡萄王,大中國際聯合會計師事務所,許伯彥,林寬照,2006/07/26,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
145,145,1708,東鹼,安侯建業會計師事務所,林秀玉,唐慈杰,2006/08/07,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
