年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,流動負債,長期負債,其他負債,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
93/01,1541,錩泰,          1562185,                  0,            411344,                  0,             23877,            654918,            500000,              4534,            672166,                  0,            165788,                  0,          1997406,          1159452,            837954,         12.47
93/01,1603,華電,          2644930,          1362376,          3650244,                  0,            519678,          2708068,             82573,          2388925,          3423000,          1248394,         -1416342,           -257390,          8177228,          5179566,          2997662,          8.76
93/01,1604,聲寶,         10886161,         10347711,          3844816,            500906,            487746,          5370072,          1950000,          2138556,         12703819,          2220979,          2562171,           -878257,         26067340,          9458628,         16608712,         13.07
93/01,1605,華新,         15851866,         39443866,         15225832,                  0,            582315,          6541664,          6600300,            994753,         31752599,         15863610,         10920132,         -1569179,         71103879,         14136717,         56967162,         17.94
93/01,1608,華榮,          2766515,          2410086,          3679313,             97802,            920016,            370601,                  0,          1536701,          6327735,            894562,            796999,            -52866,          9873732,          1907302,          7966430,         12.59
93/01,1609,大亞電線,          3676757,          3247354,          3087162,             77369,            181513,          2713756,            961272,            652077,          4654170,            765573,            862461,           -339154,         10270155,          4327105,          5943050,         12.77
93/01,1611,中電,          2861280,          1157936,          1966223,             55265,            150856,            816938,                  0,            486219,          3601108,            199064,          1088314,                -83,          6191560,          1303157,          4888403,         13.57
93/01,1612,宏泰,          2176121,          1113766,          1783897,                  0,            156653,            945872,                  0,             35896,          3298631,            175924,            813037,            -38923,          5230437,            981768,          4248669,         12.88
93/01,1613,台一,          1195574,            882855,          5176185,                  0,            767277,          7055326,             22064,            157509,          2474399,             32158,         -1753833,             34268,          8021891,          7234899,            786992,          3.18
93/01,1614,三洋電,          5903984,            417902,            933085,             42743,            730758,          2154935,                  0,            531354,          3166040,             84808,          2191727,           -100392,          8028472,          2686289,          5342183,         16.87
93/01,1615,大山,            746260,            283165,            974957,             25417,            252958,          1014749,            138861,            107591,            882000,            115091,             24465,                  0,          2282757,          1261201,          1021556,         11.58
93/01,,,,,,,,,,,,,,,,,,
93/01,1616,億泰,          1174617,            766659,            831255,              2020,            113296,            939150,             83564,             51003,          1220036,            369153,            271797,            -46856,          2887847,          1073717,          1814130,         14.87
93/01,1617,榮星電線,          1469677,            854251,            653441,                  0,             62320,          1197630,             79855,            196341,          1109236,             98779,            401416,            -43568,          3039689,          1473826,          1565863,         14.12
93/01,1618,合機公司,          1545251,            433330,          2727427,                  0,            106818,          1189925,            860719,             36187,          1589139,            722682,            418476,             -4302,          4812826,          2086831,          2725995,         17.15
93/01,1701,中化,          1815234,          1343745,          2523800,             68341,            511084,          2011232,            384400,            343719,          2509100,            739269,            359083,            -84599,          6262204,          2739351,          3522853,         14.04
93/01,1702,南僑化工,            745122,          2262896,          1669645,            124849,            247237,            775216,          1117416,            694961,          2866793,            181188,            186340,           -772165,          5049749,          2587593,          2462156,          8.59
93/01,1704,榮化,          4406437,          5057009,          3719943,             32131,            582229,          2441947,          2618438,          1653172,          4890947,          1218478,          1100067,           -125300,         13797749,          6713557,          7084192,         14.48
93/01,1707,葡萄王,            685816,             66237,            605467,              2321,            673036,             87924,             26940,            420143,          1308186,            119285,             36818,             33581,          2032877,            535007,          1497870,         11.45
