年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),共同控制下前手權益,少數股權,股東權益總計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
99/03,1471,首利,      2609475,        126637,      1679884,              0,        222115,      4638111,      1546708,              0,              0,          3703,      1550411,      2014677,        967170,         22914,         82939,              0,              0,              0,      3087700,              0.00,              0.00,             15.33
99/03,1472,三洋紡,        497033,              0,      1092587,            814,         53509,      1643943,        831077,        106659,         37616,         21861,        997213,        875000,              0,       -331920,         89421,              0,              0,         14229,        646730,              0.00,      5348830.00,              7.70
99/03,1473,台南企業,      5396204,        123174,      1340893,         32949,        223773,      7116993,      2015690,              0,         37967,        238541,      2292198,      1468220,        832130,      1754672,         16128,              0,              0,        753645,      4824795,              0.00,              0.00,             27.73
99/03,1474,弘裕,      1861495,         73837,      1071835,         43842,        129429,      3180438,      1142573,        200625,         39282,          7977,      1390457,      1378744,          5707,        293368,        111751,              0,              0,            411,      1789981,              0.00,              0.00,             12.98
99/03,1475,本盟光電,        970842,          9295,        764024,         28853,         21138,      1794152,      1486182,          9925,              0,              0,      1496107,        541946,         23077,       -271630,         14884,              0,              0,        -10232,        298045,              0.00,              0.00,              5.69
99/03,1476,儒鴻,      3126542,              0,      2716754,         98504,        208596,      6150396,      2220096,        196812,              0,        161068,      2577976,      1992848,        293678,      1274977,          2336,              0,              0,          8581,      3572420,              0.00,              0.00,             17.88
99/03,1477,聚陽實業,      5796018,              0,        934176,              0,        246033,      6976227,      3167584,              0,              0,         16119,      3183703,      1578264,        780242,      1436624,         -8638,              0,              0,          6032,      3792524,              0.00,              0.00,             23.99
99/03,1503,士電,     10151234,      6551618,     10355346,        127654,        137604,     27323456,      7849347,        300000,        950717,      1186523,     10286587,      5209722,      2556723,      5733140,      3308405,              0,              0,        228879,     17036869,              0.00,              0.00,             32.26
99/03,1504,東元電機,     31211559,     16468904,     14608620,        235066,      3245734,     65769883,     13336781,     12151505,      1080247,      1753876,     28322409,     18270109,      5809969,      8552797,      3358383,              0,              0,      1456216,     37447474,              0.00,              0.00,             19.74
99/03,1506,正道,      1118480,         73051,      1141688,         19348,        497940,      2850507,      1067688,        114741,         76990,        245107,      1504526,      1022516,        148334,       -242500,        162820,              0,              0,        254811,      1345981,              0.00,              0.00,             10.67
99/03,1507,永大機電,     10379363,        942187,      3529182,        549217,      1254955,     16654904,      5561686,        115451,          2702,        834091,      6513930,      4108200,        224537,      5397846,        261752,              0,              0,        148639,     10140974,              0.00,      2129800.00,             24.45
99/03,1512,瑞利,      2399241,              0,      2901550,         87092,        129544,      5517427,      2439927,        647247,        100253,        161020,      3348447,      1818025,         40369,        102471,        162300,              0,              0,         45815,      2168980,              0.00,              0.00,             11.68
99/03,1513,中興電,      7997497,      1237848,      4548865,        393115,        289291,     14466616,      5034093,        696000,        286075,        476209,      6492377,      4800000,        329335,      1127533,      1043969,              0,              0,        673402,      7974239,              0.00,     10329917.00,             15.54
99/03,1514,亞力電機,      2648048,        252789,      1155992,              0,        190173,      4247002,      1489285,         28350,        164401,         89286,      1771322,      2010670,        117372,         20571,        187635,              0,              0,        139432,      2475680,              0.00,      8359112.00,             12.12
99/03,1515,力山,      3009287,        410071,      1794135,         81578,         83864,      5378935,      2611711,        143800,         31782,        246083,      3033376,      2287843,              0,       -295912,        327463,              0,              0,         26165,      2345559,              0.00,              0.00,             10.14
