年季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2014/04,1227,佳格,21800013,15577607,6222406,--,--,6222406,3765248,--,2457158,112867,2570025,479665,2090360,--,--,2090360,223874,--,2314234,2075851,--,14509,2299759,--,14475,2.90
2014/04,1229,聯華實業,5302422,4631248,671174,--,--,671174,416590,--,254584,1513635,1768219,79740,1688479,--,--,1688479,-57109,--,1631370,1718864,--,-30385,1659861,--,-28491,2.01
2014/04,1231,聯華食品,5893261,4654789,1238472,0,0,1238472,1012138,--,226334,36987,263321,41247,222074,--,--,222074,-1811,--,220263,222809,--,-735,220174,--,89,1.50
2014/04,1232,大統益,21849462,20178839,1670623,--,--,1670623,584010,--,1086613,117551,1204164,209235,994929,--,--,994929,8844,--,1003773,987441,--,7488,996001,--,7772,6.17
2014/04,1233,天仁,2149080,867724,1281356,--,--,1281356,1041017,--,240339,38313,278652,46806,231846,--,--,231846,-43735,--,188111,229782,--,2064,185436,--,2675,2.54
2014/04,1234,黑松,6015394,4214857,1800537,--,--,1800537,1813508,--,-12971,492193,479222,84264,394958,--,--,394958,3252,--,398210,394958,--,--,398210,--,--,0.98
2014/04,1235,興泰,172096,162140,9956,--,--,9956,51396,0,-41440,91899,50459,-990,51449,0,--,51449,334799,--,386248,52341,--,-892,387140,--,-892,0.97
2014/04,1236,宏亞食品,2371613,1737004,634609,--,--,634609,580288,--,54321,127611,181932,14468,167464,--,--,167464,266347,--,433811,167464,--,--,433811,--,--,1.55
2014/04,1262,F-綠悅,6255929,4079162,2176767,--,--,2176767,341350,--,1835417,-25025,1810392,272315,1538077,--,--,1538077,445742,--,1983819,1538077,0,--,1983819,0,--,10.40
2014/04,1301,台塑,216589040,200036215,16552825,--,--,16552825,11037972,--,5514853,15036700,20551553,2558119,17993434,--,--,17993434,17554521,--,35547955,17993434,--,--,35547955,--,--,2.83
2014/04,1303,南亞塑膠,325473146,296426556,29046590,0,-13492,29033098,18041910,--,10991188,23524910,34516098,1699345,32816753,--,--,32816753,19282981,--,52099734,31785279,--,1031474,51068260,--,1031474,4.01
2014/04,1304,台聚,59704563,55799072,3905491,--,--,3905491,3557940,--,347551,529801,877352,222110,655242,-26566,--,628676,442852,--,1071528,640838,--,-12162,923137,--,148391,0.62
2014/04,1305,華夏,14559831,13422934,1136897,--,--,1136897,1040588,0,96309,58183,154492,5531,148961,-26566,--,122395,3337,--,125732,118906,--,3489,122933,--,2799,0.25
2014/04,1307,三芳化工,11191138,8440781,2750357,--,--,2750357,1616620,--,1133737,44161,1177898,208139,969759,0,--,969759,366999,--,1336758,969759,--,--,1336758,--,--,2.59
2014/04,1308,亞聚,5566285,4978473,587812,--,--,587812,180045,--,407767,176146,583913,83980,499933,--,--,499933,-155795,--,344138,499933,--,--,344138,--,--,1.06
2014/04,1309,台達化工,20933816,20855152,78664,--,--,78664,726611,--,-647947,9737,-638210,-7024,-631186,--,--,-631186,9577,--,-621609,-631186,--,--,-621609,--,--,-1.93
2014/04,1310,台苯,17028183,17176342,-148159,--,--,-148159,341416,--,-489575,82956,-406619,-64915,-341704,289788,--,-51916,-280605,--,-332521,-38456,--,-13460,-325377,--,-7144,-0.07
2014/04,1312,國喬石化,24340264,22747713,1592551,--,--,1592551,1148690,--,443861,310067,753928,263247,490681,--,--,490681,148384,--,639065,292518,--,198163,439236,--,199829,0.31
2014/04,1313,聯成,53282098,51946280,1335818,--,--,1335818,1726645,--,-390827,-5777,-396604,-152702,-243902,--,--,-243902,608976,--,365074,-243252,--,-650,365482,--,-408,-0.21
2014/04,1314,中石化,33249482,34012188,-762706,931,474,-763163,1411469,--,-2174632,2527223,352591,58059,294532,--,--,294532,25641,--,320173,304449,--,-9917,329224,--,-9051,0.13
2014/04,1315,達新工業,2989773,2428795,560978,--,--,560978,468793,--,92185,178227,270412,44842,225570,--,--,225570,-182832,--,42738,235661,--,-10091,52787,--,-10049,1.16
2014/04,1316,上曜,793523,696335,97188,--,--,97188,261200,--,-164012,170949,6937,42404,-35467,--,--,-35467,22649,--,-12818,-43466,--,7999,-35635,--,22817,-0.33
2014/04,1319,東陽,21141658,16413331,4728327,--,581,4728908,3640523,--,1088385,111624,1200009,247486,952523,--,--,952523,184952,--,1137475,909886,--,42637,1068006,--,69469,1.54
2014/04,1321,大洋,5365933,5159262,206671,--,--,206671,381240,--,-174569,29787,-144782,243,-145025,--,--,-145025,11284,--,-133741,-145025,--,--,-133741,--,--,-0.66
2014/04,1323,永裕,3471411,2581357,890054,--,--,890054,416152,68,473970,6666,480636,132919,347717,--,--,347717,23407,--,371124,273626,--,74091,298483,--,72641,3.01
2014/04,1324,地球工業,1447397,1213812,233585,--,--,233585,194915,--,38670,13377,52047,8994,43053,--,--,43053,-4539,--,38514,43053,--,--,38514,--,--,0.57
2014/04,1325,恒大,1205434,1096871,108563,--,--,108563,79513,--,29050,42198,71248,14628,56620,--,--,56620,19030,--,75650,58797,--,-2177,72096,--,3554,0.58
2014/04,1326,台化,401453739,383655665,17798074,--,--,17798074,13752327,--,4045747,11648685,15694432,1673291,14021141,--,--,14021141,12852455,--,26873596,10530288,--,3490853,25182244,--,1691352,1.80
2014/04,1337,F-再生,5381767,3519917,1861850,--,--,1861850,444950,--,1416900,113565,1530465,397330,1133135,--,--,1133135,339461,--,1472596,1133135,--,--,1472596,--,--,4.54
2014/04,1338,F-廣華,8404236,6489038,1915198,--,--,1915198,1008473,--,906725,-17227,889498,256154,633344,--,--,633344,225284,--,858628,632734,--,610,857024,--,1604,7.78
2014/04,1339,昭輝,1439884,922337,517547,--,--,517547,172347,--,345200,33157,378357,77025,301332,--,--,301332,-282,--,301050,--,--,--,--,--,--,4.57
2014/04,1340,F-勝悅,3094505,1935442,1159063,--,--,1159063,130157,--,1028906,79674,1108580,174324,934256,--,--,934256,173623,--,1107879,934256,--,--,1107879,--,--,10.60
2014/04,1402,遠東新,235506639,187644142,47862497,--,556,47863053,35989788,--,11873265,9724794,21598059,4409757,17188302,--,--,17188302,2237258,--,19425560,11033421,--,6154881,12889364,--,6536196,2.25
2014/04,1410,南染,637513,437424,200089,--,--,200089,76009,--,124080,11281,135361,23730,111631,--,--,111631,1267,--,112898,104126,--,7505,105358,--,7540,1.21
2014/04,1413,宏洲纖維,3511555,3635582,-124027,--,--,-124027,102594,--,-226621,-19136,-245757,1418,-247175,--,--,-247175,-38765,--,-285940,-245728,--,-1447,-277837,--,-8103,-2.44
2014/04,1414,東和,1312550,1242453,70097,--,--,70097,64763,--,5334,40320,45654,-215,45869,--,--,45869,-19819,--,26050,--,--,--,--,--,--,0.21
2014/04,1416,廣豐,1161919,902832,259087,--,--,259087,275488,--,-16401,548697,532296,51721,480575,--,--,480575,66083,--,546658,485408,--,-4833,551491,--,-4833,1.68
2014/04,1417,嘉裕,3286766,2357695,929071,--,--,929071,1118556,--,-189485,209408,19923,-9178,29101,--,--,29101,495881,--,524982,29101,--,--,524982,--,--,0.08
2014/04,1418,東華,2008921,2024716,-15795,--,--,-15795,169446,--,-185241,28002,-157239,2926,-160165,--,--,-160165,-23524,--,-183689,-160144,--,-21,-183668,--,-21,-1.32
2014/04,1419,新紡,1176182,887518,288664,0,0,288664,311701,--,-23037,131023,107986,3704,104282,0,--,104282,57760,--,162042,104282,--,--,162042,--,--,0.35
2014/04,1423,利華羊毛,689868,702724,-12856,--,--,-12856,37860,--,-50716,-312,-51028,23621,-74649,--,--,-74649,31926,--,-42723,--,--,--,--,--,--,-0.43
2014/04,1432,大魯閣,131832,69385,62447,--,--,62447,229565,--,-167118,105463,-61655,9480,-71135,-74669,--,-145804,81240,--,-64564,-142195,--,-3609,-60955,--,-3609,-0.87
2014/04,1434,福懋興業,48191112,42451350,5739762,--,--,5739762,2843218,--,2896544,1275395,4171939,352290,3819649,--,--,3819649,-3790273,--,29376,3518374,--,301275,-283212,--,312588,2.09
2014/04,1435,中福國際,26906,3210,23696,--,--,23696,30940,0,-7244,5589,-1655,0,-1655,0,--,-1655,--,--,-1655,-1655,--,--,-1655,--,--,-0.01
2014/04,1436,華友聯,1581330,1114400,466930,--,--,466930,136352,--,330578,-222,330356,9274,321082,--,--,321082,--,--,321082,--,--,--,--,--,--,5.35
2014/04,1437,勤益投控,1091670,861157,230513,--,--,230513,134978,--,95535,141580,237115,20924,216191,--,--,216191,34843,--,251034,215279,--,912,248692,--,2342,1.06
2014/04,1438,裕豐,12419,2924,9495,0,0,9495,8255,0,1240,3169,4409,763,3646,0,0,3646,--,--,3646,--,--,--,--,--,--,0.04
2014/04,1439,中和羊毛,423790,408031,15759,--,--,15759,30395,--,-14636,15565,929,160,769,--,--,769,0,--,769,--,--,--,--,--,--,0.01
2014/04,1440,南紡,20764981,19018173,1746808,--,--,1746808,1531929,--,214879,317073,531952,153063,378889,--,--,378889,-489919,--,-111030,474995,--,-96106,-14911,--,-96119,0.29
2014/04,1441,大東紡織,1662336,1701946,-39610,--,--,-39610,190721,--,-230331,34416,-195915,-1365,-194550,--,--,-194550,7656,--,-186894,-194550,--,--,-186894,--,--,-2.17
2014/04,1442,名軒,1455970,827137,628833,--,--,628833,164327,--,464506,20087,484593,69489,415104,--,--,415104,7888,--,422992,415104,--,0,422992,--,0,1.96
2014/04,1443,立益紡織,1746387,1802430,-56043,--,--,-56043,201494,--,-257537,20218,-237319,1162,-238481,--,--,-238481,-63492,--,-301973,-203988,--,-34493,-251778,--,-50195,-1.51
2014/04,1444,力麗,11532919,11053160,479759,0,89,479848,534137,--,-54289,340816,286527,54588,231939,--,--,231939,-204691,--,27248,216818,--,15121,27989,--,-741,0.23
2014/04,1445,大宇紡織,1908684,1773609,135075,--,--,135075,125711,--,9364,20685,30049,985,29064,--,--,29064,-15406,--,13658,29064,--,--,13658,--,--,0.21
2014/04,1446,宏和,840025,675407,164618,--,--,164618,161185,--,3433,18174,21607,8337,13270,--,--,13270,7739,--,21009,13270,--,--,21009,--,--,0.10
2014/04,1447,力鵬,22363188,21615961,747227,--,--,747227,699944,--,47283,365734,413017,65735,347282,--,--,347282,-283667,--,63615,348239,--,-957,-46635,--,110250,0.42
2014/04,1449,佳和實業,3455795,3441565,14230,--,--,14230,382479,--,-368249,393774,25525,31726,-6201,--,--,-6201,169426,--,163225,52571,--,-58772,221261,--,-58036,0.46
2014/04,1451,年興紡織,13213126,12151849,1061277,--,--,1061277,767420,--,293857,598085,891942,199854,692088,--,--,692088,-102352,--,589736,699992,--,-7904,595294,--,-5558,1.75
2014/04,1452,宏益,2119911,1878021,241890,--,--,241890,90903,--,150987,46800,197787,24056,173731,--,--,173731,18566,--,192297,--,--,--,--,--,--,1.31
2014/04,1453,大將,233413,253269,-19856,--,--,-19856,38483,--,-58339,13817,-44522,2349,-46871,--,--,-46871,-4816,--,-51687,-46643,--,-228,-51459,--,-228,-0.54
2014/04,1454,台富,2108199,1930468,177731,--,--,177731,128266,33,49498,24506,74004,5460,68544,--,--,68544,-55553,--,12991,68543,--,1,12990,--,1,0.52
2014/04,1455,集盛,18172168,17756529,415639,--,--,415639,443932,--,-28293,113803,85510,28192,57318,--,--,57318,7561,--,64879,57318,--,--,64879,--,--,0.09
2014/04,1456,怡華,908525,897448,11077,--,--,11077,103510,-3381,-95814,-1025721,-1121535,-2191,-1119344,--,--,-1119344,985960,--,-133384,-1119344,--,--,-133384,--,--,-5.33
2014/04,1457,宜進,4418058,4111017,307041,--,--,307041,179463,--,127578,-19251,108327,5869,102458,--,--,102458,5248,--,107706,88140,--,14318,94921,--,12785,0.34
2014/04,1459,聯發紡織,4068018,3890918,177100,--,--,177100,172994,--,4106,203871,207977,30900,177077,--,--,177077,74162,--,251239,175928,--,1149,250090,--,1149,0.56
2014/04,1460,宏遠,8158215,6708304,1449911,--,--,1449911,1119899,-7389,322623,116884,439507,65551,373956,--,--,373956,14618,--,388574,373954,--,2,388572,--,2,0.85
2014/04,1463,強盛染整,534742,427533,107209,--,--,107209,81644,--,25565,37518,63083,4626,58457,30945,--,89402,9747,--,99149,102311,--,-12909,112058,--,-12909,0.63
2014/04,1464,得力實業,5684574,4878192,806382,--,--,806382,777704,-28452,226,898357,898583,7479,891104,--,--,891104,51660,--,942764,895101,--,-3997,930056,--,12708,4.14
2014/04,1465,偉全實業,2697559,2373338,324221,--,--,324221,232530,--,91691,80450,172141,15793,156348,--,--,156348,19971,--,176319,108303,--,48045,143087,--,33232,1.05
2014/04,1466,聚隆,5011570,4649550,362020,0,0,362020,346606,--,15414,49271,64685,10680,54005,0,--,54005,3247,--,57252,54005,0,0,57252,0,0,0.52
2014/04,1467,南緯實業,7185601,5802001,1383600,--,--,1383600,1252706,--,130894,-6518,124376,60205,64171,--,--,64171,78726,--,142897,111589,--,-47418,160973,--,-18076,0.57
2014/04,1468,昶和纖維,588336,542286,46050,--,--,46050,126418,--,-80368,13951,-66417,0,-66417,--,--,-66417,7903,--,-58514,-57708,--,-8709,-51965,--,-6549,-0.36
2014/04,1469,理隆纖維,474885,430000,44885,--,--,44885,54145,--,-9260,8855,-405,-338,-67,--,--,-67,198960,--,198893,-67,--,0,198893,--,0,0.00
2014/04,1470,大統染,744311,584971,159340,--,--,159340,88470,1910,72780,7382,80162,13795,66367,--,--,66367,2569,--,68936,--,--,--,--,--,--,0.77
2014/04,1471,首利,3857161,3759373,97788,--,--,97788,272827,--,-175039,105845,-69194,9446,-78640,--,--,-78640,84716,--,6076,-78640,--,--,6076,--,--,-0.39
2014/04,1472,三洋紡,981564,976702,4862,--,--,4862,80919,16399,-59658,-4283,-63941,732,-64673,--,--,-64673,8617,--,-56056,-61835,--,-2838,-53218,--,-2838,-0.89
2014/04,1473,台南企業,9137371,7487751,1649620,--,--,1649620,2158655,--,-509035,475545,-33490,105059,-138549,--,--,-138549,110581,--,-27968,141248,--,-279797,230798,--,-258766,0.97
2014/04,1474,弘裕,3533648,3254758,278890,--,--,278890,247845,--,31045,42711,73756,16826,56930,--,--,56930,15873,--,72803,56930,--,--,72803,--,--,0.44
2014/04,1475,本盟光電,221131,244325,-23194,--,--,-23194,49101,--,-72295,-1014,-73309,-67,-73242,--,--,-73242,-3666,--,-76908,-41366,--,-31876,-42060,--,-34848,-0.79
2014/04,1476,儒鴻,20842752,15371616,5471136,--,--,5471136,1964009,--,3507127,231279,3738406,734185,3004221,--,--,3004221,112735,--,3116956,3003519,--,702,3127068,--,-10112,11.51
2014/04,1477,聚陽實業,20888798,16361727,4527071,--,--,4527071,2440031,--,2087040,7832,2094872,389420,1705452,--,--,1705452,154393,--,1859845,1705256,--,196,1858766,--,1079,9.62
2014/04,1503,士電,19802928,15771175,4031753,--,--,4031753,2769859,--,1261894,395668,1657562,324503,1333059,--,--,1333059,153158,--,1486217,1267797,--,65262,1403591,--,82626,2.43
2014/04,1504,東元電機,53820604,40442637,13377967,10265,10329,13378031,8981060,--,4396971,1306964,5703935,1297704,4406231,--,--,4406231,4593197,--,8999428,4066924,--,339307,8456178,--,543250,2.06
2014/04,1506,正道,1566405,1322982,243423,--,--,243423,212524,--,30899,-21748,9151,1620,7531,--,--,7531,-1137,--,6394,13052,--,-5521,12290,--,-5896,0.11
2014/04,1507,永大機電,23875782,17695202,6180580,--,--,6180580,3491629,--,2688951,179943,2868894,814057,2054837,0,--,2054837,424115,--,2478952,2021698,--,33139,2445811,--,33141,4.95
2014/04,1512,瑞利,3936329,3521852,414477,--,--,414477,577149,--,-162672,-12523,-175195,54297,-229492,--,--,-229492,58038,--,-171454,-237172,--,7680,-182294,--,10840,-1.30
2014/04,1513,中興電,11320757,9298443,2022314,--,--,2022314,1366822,--,655492,201868,857360,181177,676183,--,--,676183,-91508,--,584675,680911,--,-4728,581164,--,3511,1.50
2014/04,1514,亞力電機,3403124,2940447,462677,3180,0,459497,398136,--,61361,54504,115865,4968,110897,--,--,110897,485,--,111382,108635,--,2262,108015,--,3367,0.55
2014/04,1515,力山,3606265,2892140,714125,0,--,714125,593761,--,120364,53170,173534,27451,146083,--,--,146083,-88989,--,57094,147866,--,-1783,58491,--,-1397,0.81
2014/04,1516,川飛,209101,191417,17684,--,--,17684,12263,0,5421,19739,25160,-7500,32660,0,--,32660,0,--,32660,--,--,--,--,--,--,1.24
2014/04,1517,利奇機械,3882822,3294620,588202,--,--,588202,347365,--,240837,123823,364660,99503,265157,--,--,265157,62591,--,327748,231047,--,34110,282751,--,44997,1.01
2014/04,1519,華城電機,5123371,4144642,978729,--,--,978729,651364,--,327365,-1705,325660,64198,261462,--,--,261462,-2486,--,258976,259912,--,1550,258043,--,933,1.00
2014/04,1521,大億,4962422,4061688,900734,11915,2198,891017,501195,-561,389261,64135,453396,79943,373453,--,--,373453,368,--,373821,373453,--,--,373821,--,--,4.90
2014/04,1522,堤維西,18762443,15103174,3659269,0,101416,3760685,3028147,--,732538,271298,1003836,236966,766870,--,--,766870,154738,--,921608,512023,--,254847,609220,--,312388,1.64
2014/04,1524,耿鼎企業,2474247,2121467,352780,--,--,352780,336864,--,15916,-7256,8660,2093,6567,--,--,6567,1779,--,8346,6567,--,--,8346,--,--,0.04
2014/04,1525,江申工業,1185714,1052469,133245,--,--,133245,110580,--,22665,333639,356304,36714,319590,0,--,319590,98779,--,418369,319590,--,--,418369,--,--,4.62
2014/04,1526,日馳,756001,581596,174405,--,--,174405,117820,--,56585,4431,61016,6711,54305,--,--,54305,1262,--,55567,54305,--,--,55567,--,--,1.09
2014/04,1527,鑽全,3143228,2250569,892659,--,--,892659,294197,--,598462,569415,1167877,200156,967721,--,--,967721,232398,--,1200119,--,--,--,--,--,--,6.31
2014/04,1528,恩德,3268623,2499581,769042,--,--,769042,800160,--,-31118,73537,42419,26367,16052,--,--,16052,29455,--,45507,17442,--,-1390,46897,--,-1390,0.12
2014/04,1529,樂士,105626,112193,-6567,--,--,-6567,39118,--,-45685,17557,-28128,37872,-66000,--,--,-66000,--,--,-66000,-66000,--,0,-66000,--,0,-0.25
2014/04,1530,亞崴機電,3913307,3059319,853988,--,3928,857916,549556,--,308360,53478,361838,82060,279778,--,--,279778,12665,--,292443,272871,--,6907,288065,--,4378,2.97
2014/04,1531,高林股,2777856,2297730,480126,--,--,480126,379173,--,100953,111406,212359,10309,202050,--,--,202050,156776,--,358826,202050,--,0,358826,--,0,1.05
2014/04,1532,勤美,16933757,13104656,3829101,--,--,3829101,1954548,7574,1882127,-133204,1748923,569155,1179768,--,--,1179768,415745,--,1595513,534860,--,644908,780407,--,815106,1.36
2014/04,1533,車王電,2657647,1698416,959231,--,--,959231,651960,--,307271,5959,313230,85256,227974,--,--,227974,155714,--,383688,227978,--,-4,383692,--,-4,2.41
2014/04,1535,中宇,10351517,9322991,1028526,--,--,1028526,493531,--,534995,322535,857530,176884,680646,--,--,680646,116804,--,797450,680646,--,0,797450,--,0,5.50
2014/04,1536,和大工業,4236498,2942651,1293847,--,--,1293847,532634,--,761213,104413,865626,153880,711746,--,--,711746,-17363,--,694383,711673,--,73,693023,--,1360,3.06
2014/04,1537,廣隆光電,6765833,5467278,1298555,--,--,1298555,457583,--,840972,56711,897683,221190,676493,--,--,676493,120851,--,797344,659721,--,16772,781158,--,16186,8.09
2014/04,1538,正峰新,865699,745796,119903,--,--,119903,209370,--,-89467,36264,-53203,0,-53203,--,--,-53203,14120,--,-39083,-53203,--,--,-39083,--,--,-0.64
2014/04,1539,巨庭機械,2503519,2243659,259860,--,--,259860,128812,--,131048,38541,169589,38231,131358,--,--,131358,-1953,--,129405,131358,--,--,129405,--,--,2.01
2014/04,1540,喬福機械,1129632,830273,299359,--,--,299359,138986,--,160373,71751,232124,33569,198555,--,--,198555,4300,--,202855,198550,--,5,202850,--,5,2.50
2014/04,1541,錩泰,2688034,2277654,410380,--,--,410380,270792,--,139588,55862,195450,33126,162324,--,--,162324,1741,--,164065,162324,--,--,164065,--,--,2.06
2014/04,1558,伸興,6246366,4733890,1512476,--,--,1512476,569370,--,943106,133673,1076779,239469,837310,--,--,837310,43159,--,880469,829346,--,7964,872505,--,7964,13.70
2014/04,1560,中砂,4354824,2918423,1436401,--,--,1436401,580387,--,856014,-33593,822421,168984,653437,--,--,653437,-13030,--,640407,--,--,--,--,--,--,4.63
2014/04,1568,倉佑,2238880,1892473,346407,--,--,346407,201302,158,145263,2332,147595,27749,119846,-7418,--,112428,17604,--,130032,116967,--,-4539,131133,--,-1101,1.18
2014/04,1582,信錦,10062566,7764518,2298048,--,--,2298048,1098117,--,1199931,44050,1243981,388122,855859,--,--,855859,311267,--,1167126,855859,--,0,1167126,--,0,5.71
2014/04,1583,程泰,7817221,5740018,2077203,--,--,2077203,1178916,--,898287,199618,1097905,246393,851512,--,--,851512,41587,--,893099,685834,--,165678,721464,--,171635,6.88
2014/04,1589,F-永冠,7206294,4948583,2257711,--,--,2257711,908852,--,1348859,-27782,1321077,319260,1001817,--,--,1001817,455109,--,1456926,1002164,--,-347,1453033,--,3893,9.78
2014/04,1590,F-亞德,8378961,3775784,4603177,--,--,4603177,2214259,--,2388918,-376,2388542,602430,1786112,--,--,1786112,312925,--,2099037,1770731,--,15381,2080041,--,18996,10.39
2014/04,1592,F-英瑞,4798743,3347036,1451707,--,--,1451707,1119604,-4397,327706,-75947,251759,83829,167930,--,--,167930,161924,--,329854,167930,--,--,329854,--,--,1.83
2014/04,1603,華電,2627354,2339174,288180,--,--,288180,164005,19096,143271,148326,291597,40994,250603,0,--,250603,110734,--,361337,250585,--,18,361294,--,43,0.88
2014/04,1604,聲寶,10331141,8097921,2233220,--,--,2233220,2056395,--,176825,492711,669536,26085,643451,--,--,643451,149710,--,793161,640447,--,3004,789777,--,3384,1.25
2014/04,1605,華新,162987384,155417156,7570228,6969,--,7563259,4059669,--,3503590,157734,3661324,1125792,2535532,--,--,2535532,1502331,--,4037863,2264691,--,270841,3802986,--,234877,0.64
2014/04,1608,華榮,9917436,9857448,59988,--,--,59988,198191,--,-138203,235650,97447,17305,80142,--,--,80142,221686,--,301828,-6792,--,86934,213214,--,88614,-0.02
2014/04,1609,大亞電線,16014756,15376566,638190,--,--,638190,874680,--,-236490,303848,67358,9480,57878,--,--,57878,103424,--,161302,20454,--,37424,97083,--,64219,0.04
2014/04,1611,中電,2857486,2207579,649907,370,1453,650990,587241,--,63749,-361626,-297877,-21334,-276543,0,--,-276543,1887,--,-274656,-275308,--,-1235,-273421,--,-1235,-0.69
2014/04,1612,宏泰,3805714,3634355,171359,--,--,171359,195897,--,-24538,298626,274088,13567,260521,--,--,260521,-7651,--,252870,251155,--,9366,244656,--,8214,0.77
2014/04,1613,台一,45880345,45174747,705598,--,--,705598,589153,--,116445,-347712,-231267,1874,-233141,--,--,-233141,20384,--,-212757,-233461,--,320,-220500,--,7743,-1.03
2014/04,1614,三洋電,5290251,4307388,982863,--,--,982863,668027,--,314836,-39308,275528,50763,224765,0,--,224765,-7231,--,217534,226402,--,-1637,219325,--,-1791,0.87
2014/04,1615,大山,2728035,2584948,143087,--,--,143087,105208,--,37879,53005,90884,7654,83230,--,--,83230,311,--,83541,83230,0,0,83541,0,0,0.74
2014/04,1616,億泰,3834751,3766859,67892,--,--,67892,228560,--,-160668,-67502,-228170,-38632,-189538,--,--,-189538,8776,--,-180762,-189538,--,--,-180762,--,--,-1.00
2014/04,1617,榮星電線,3610153,3306786,303367,--,--,303367,238449,--,64918,7296,72214,26437,45777,--,--,45777,29389,--,75166,47354,--,-1577,75681,--,-515,0.33
2014/04,1618,合機公司,1807620,1790720,16900,--,--,16900,115580,--,-98680,70311,-28369,-14820,-13549,--,--,-13549,-117318,--,-130867,-13549,--,0,-130867,--,0,-0.06
2014/04,1626,F-艾美,12117829,9920967,2196862,9278,12475,2200059,2416746,0,-216687,-111669,-328356,3926,-332282,--,--,-332282,154999,--,-177283,-332282,0,--,-177283,--,--,-2.71
2014/04,1701,中化,5297426,3674620,1622806,--,--,1622806,1344024,--,278782,154092,432874,82281,350593,--,--,350593,194104,--,544697,347723,--,2870,542044,--,2653,1.17
2014/04,1702,南僑化工,14831846,9913530,4918316,--,--,4918316,3340375,--,1577941,662,1578603,569866,1008737,--,--,1008737,165608,--,1174345,948634,--,60103,1109117,--,65228,3.82
2014/04,1704,榮化,41980225,41080472,899753,--,--,899753,2581229,--,-1681476,-11472141,-13153617,5272,-13158889,--,--,-13158889,915108,--,-12243781,-8327416,--,-4831473,-7412000,--,-4831781,-9.76
2014/04,1707,葡萄王,6282859,721624,5561235,--,--,5561235,3961443,--,1599792,89426,1689218,302705,1386513,--,--,1386513,7702,--,1394215,942483,--,444030,950233,--,443982,7.24
2014/04,1708,東鹼,4188340,2886535,1301805,--,--,1301805,507456,--,794349,40333,834682,181396,653286,--,--,653286,86513,--,739799,649779,--,3507,735547,--,4252,3.73
2014/04,1709,和益化工,11074650,10145686,928964,--,--,928964,718779,--,210185,44127,254312,52003,202309,--,--,202309,13226,--,215535,186745,--,15564,200114,--,15421,0.43
2014/04,1710,東聯,14126334,12961399,1164935,--,--,1164935,779236,--,385699,-342658,43041,-20322,63363,--,--,63363,520840,--,584203,115882,--,-52519,481285,--,102918,0.13
2014/04,1711,永光化學,9899878,7651988,2247890,--,--,2247890,1570590,--,677300,71050,748350,160124,588226,--,--,588226,70508,--,658734,578435,--,9791,642764,--,15970,1.16
2014/04,1712,興農,17287684,12905331,4382353,--,--,4382353,3646814,--,735539,-74641,660898,149366,511532,--,--,511532,42653,--,554185,506505,--,5027,548456,--,5729,1.51
2014/04,1713,國化,748780,623401,125379,--,--,125379,62468,--,62911,43177,106088,14087,92001,--,--,92001,-2295,--,89706,--,--,--,--,--,--,0.61
2014/04,1714,和桐化學,56677333,54366833,2310500,--,--,2310500,2135301,--,175199,-1192817,-1017618,141518,-1159136,--,--,-1159136,369036,--,-790100,-395328,--,-763808,-106503,--,-683597,-0.42
2014/04,1715,萬洲化學,10970682,9613252,1357430,--,--,1357430,1025048,--,332382,567835,900217,166383,733834,--,--,733834,221046,--,954880,695983,--,37851,903584,--,51296,1.77
2014/04,1717,長興材料,40343325,32563766,7779559,--,--,7779559,4954064,--,2825495,182067,3007562,694541,2313021,--,--,2313021,759015,--,3072036,2303471,--,9550,3047457,--,24579,2.25
2014/04,1720,生達化學,3295656,1847958,1447698,--,--,1447698,1070374,--,377324,81270,458594,74864,383730,0,--,383730,77238,--,460968,374235,--,9495,447521,--,13447,2.09
2014/04,1721,三晃,1578255,1447423,130832,--,--,130832,163850,--,-33018,40649,7631,0,7631,--,--,7631,2879,--,10510,7631,--,--,10510,--,--,0.09
2014/04,1722,台肥,17510273,14597642,2912631,--,--,2912631,1252681,--,1659950,1187303,2847253,-221093,3068346,--,--,3068346,509897,--,3578243,3068346,--,--,3578243,--,--,3.13
2014/04,1723,中碳,8904302,6077761,2826541,--,--,2826541,445586,--,2380955,186892,2567847,379273,2188574,--,--,2188574,149996,--,2338570,2187189,--,1385,2337229,--,1341,9.50
2014/04,1724,台硝,1350162,1170819,179343,--,--,179343,138703,9246,49886,402,50288,9431,40857,--,--,40857,750,--,41607,40857,--,0,41607,--,0,0.32
2014/04,1725,元禎,10472666,10058582,414084,--,--,414084,236482,--,177602,27081,204683,32984,171699,--,--,171699,97024,--,268723,171699,--,0,268723,--,0,0.94
