年季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,營業費用,營業利益（損失）,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,其他綜合損益（淨額）,會計原則變動累積影響數,本期綜合損益總額,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,營業外收入及支出,利息淨收益,利息以外淨收益,呆帳費用,會計原則變動之累積影響數,稀釋每股盈餘,利息收入,減：利息費用,淨收益,收回(提存)各項保險責任準備淨額,收入,費用,列計非常損益及會計原則變動累積影響數前損益,營業支出,換算匯率,換算匯率參考依據
2010/01,1416.0,廣豐,204755.0,176073.0,28682.0,50461.0,-21779.0,-31774.0,0.0,-31774.0,0.0,0.0,0.0,-31774.0,-31761.0,0.0,-13.0,-0.06,-9995.0,,,,,,,,,,,,,,,
2010/01,1417.0,嘉裕,571593.0,352533.0,219060.0,197402.0,21658.0,45710.0,9966.0,35744.0,0.0,0.0,0.0,35744.0,35744.0,0.0,0.0,0.09,24052.0,,,,,,,,,,,,,,,
2010/01,1418.0,東華,906717.0,813999.0,92718.0,46631.0,46087.0,43038.0,1998.0,41040.0,0.0,0.0,0.0,41040.0,41045.0,0.0,-5.0,0.34,-3049.0,,,,,,,,,,,,,,,
2010/01,1419.0,新紡,185392.0,129792.0,55600.0,48692.0,6908.0,11042.0,985.0,10057.0,0.0,0.0,0.0,10057.0,10057.0,0.0,0.0,0.03,4134.0,,,,,,,,,,,,,,,
2010/01,1432.0,大魯閣,123564.0,134098.0,-10534.0,23779.0,-34313.0,-42014.0,0.0,-42014.0,0.0,0.0,0.0,-42014.0,-36032.0,0.0,-5982.0,-0.42,-7701.0,,,,,,,,,,,,,,,
2010/01,1434.0,福懋興業,11113889.0,9947902.0,1165987.0,549780.0,616207.0,598944.0,85895.0,513049.0,0.0,0.0,0.0,513049.0,415527.0,0.0,97522.0,0.25,-17263.0,,,,,,,,,,,,,,,
2010/01,1435.0,中福國際,7255.0,2126.0,5129.0,5918.0,-789.0,-3643.0,141.0,-3784.0,0.0,0.0,0.0,-3784.0,-3784.0,0.0,0.0,-0.03,-2854.0,,,,,,,,,,,,,,,
2010/01,1436.0,華友聯,2570.0,1245.0,1325.0,14119.0,-12794.0,-89929.0,1.0,-89930.0,0.0,0.0,0.0,-89930.0,-89930.0,0.0,0.0,-0.28,-77135.0,,,,,,,,,,,,,,,
2010/01,1437.0,勤益投控,633027.0,565822.0,67205.0,27779.0,39426.0,33824.0,8265.0,25559.0,0.0,0.0,0.0,25559.0,25553.0,0.0,6.0,0.13,-5602.0,,,,,,,,,,,,,,,
2010/01,1440.0,南紡,4792844.0,3977422.0,815422.0,300846.0,514576.0,486228.0,126913.0,359315.0,0.0,0.0,0.0,359315.0,358147.0,0.0,1168.0,0.24,-28348.0,,,,,,,,,,,,,,,
2010/01,1441.0,大東紡織,370198.0,326457.0,43741.0,35079.0,8662.0,109.0,2797.0,-2688.0,0.0,0.0,-1094.0,-3782.0,-3782.0,0.0,0.0,-0.04,-8553.0,,,,,,,,,,,,,,,
2010/01,1442.0,名軒,550043.0,372960.0,177083.0,35564.0,141519.0,142021.0,1883.0,140138.0,0.0,0.0,0.0,140138.0,140400.0,0.0,-262.0,0.81,502.0,,,,,,,,,,,,,,,
2010/01,1443.0,立益紡織,711445.0,672492.0,38953.0,36339.0,2614.0,-15028.0,0.0,-15028.0,0.0,0.0,0.0,-15028.0,-16822.0,0.0,1794.0,-0.05,-17642.0,,,,,,,,,,,,,,,
2010/01,1444.0,力麗,2214025.0,1872684.0,341341.0,117261.0,223252.0,249127.0,0.0,249127.0,0.0,0.0,0.0,249127.0,250390.0,0.0,-1263.0,0.34,25875.0,,,,,,,,,,,,,,,
2010/01,1445.0,大宇紡織,472088.0,448713.0,23375.0,32215.0,-8840.0,3324.0,137.0,3187.0,0.0,0.0,0.0,3187.0,3187.0,0.0,0.0,0.02,12164.0,,,,,,,,,,,,,,,
2010/01,1446.0,宏和,311326.0,227908.0,83418.0,64266.0,19152.0,21493.0,5904.0,15589.0,0.0,0.0,0.0,15589.0,15589.0,0.0,0.0,0.11,2341.0,,,,,,,,,,,,,,,
2010/01,1447.0,力鵬,6175510.0,5632321.0,543189.0,160126.0,383063.0,382216.0,2500.0,379716.0,0.0,0.0,0.0,379716.0,380108.0,0.0,-392.0,0.64,-847.0,,,,,,,,,,,,,,,
2010/01,1449.0,佳和實業,1001232.0,963697.0,37535.0,106102.0,-68567.0,-89038.0,715.0,-89753.0,0.0,0.0,0.0,-89753.0,-70983.0,0.0,-18770.0,-0.51,-20471.0,,,,,,,,,,,,,,,
2010/01,1451.0,年興紡織,2720545.0,2411534.0,309011.0,191280.0,117731.0,303892.0,68298.0,235594.0,0.0,0.0,0.0,235594.0,235508.0,0.0,86.0,0.4,186161.0,,,,,,,,,,,,,,,
