年季,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2015/03,1524,耿鼎企業,1197850,3438708,4636558,1220065,1605869,2825934,1796852,164239,-154493,4026,0,1810624,0,--,0,1810624,0,0,0,10.08
2015/03,1525,江申工業,713644,3401236,4114880,522787,255196,777983,692454,1251,2433839,209353,--,3336897,--,--,--,3336897,0,0,0,48.19
2015/03,1526,日馳,904724,461918,1366642,498464,254523,752987,500000,--,107697,5958,--,613655,0,--,0,613655,0,--,0,12.27
2015/03,1527,鑽全,12865417,1983723,14849140,10342856,1082938,11425794,1379606,305,1815970,227465,0,--,--,--,--,3423346,0,--,0,24.81
2015/03,1528,恩德,3226781,1360798,4587579,1792565,392408,2184973,1800000,337206,226946,33819,-10404,2387567,--,--,15039,2402606,0,--,1150000,13.35
2015/03,1529,樂士,108701,482950,591651,128450,6905,135355,2997089,0,-2545476,0,0,451613,0,--,4683,456296,0,0,0,1.51
2015/03,1530,亞崴機電,4520988,2091378,6612366,3124421,704047,3828468,919945,250067,1389537,43322,--,2602871,--,--,181027,2783898,0,0,0,28.29
2015/03,1531,高林股,3539123,1929555,5468678,1026500,319519,1346019,1931511,338901,1901354,144736,-193843,4122659,--,--,0,4122659,0,0,8143000,22.28
2015/03,1532,勤美,22839100,14973276,37812376,12425905,5704022,18129927,3936561,1555041,5896061,956310,-120490,12223483,--,--,7458966,19682449,0,4427000,4427000,31.77
2015/03,1533,車王電,2878817,1519730,4398547,1462617,646850,2109467,947572,271128,969837,100555,0,2289092,--,--,-12,2289080,0,0,0,24.16
2015/03,1535,中宇,5270294,1549828,6820122,2982503,403682,3386185,1237426,628374,1366436,201701,0,3433937,--,--,0,3433937,0,0,0,27.75
2015/03,1536,和大工業,3553376,5128296,8681672,2273235,2800608,5073843,2349565,13804,1129440,62178,--,3554987,--,--,52842,3607829,0,0,0,15.13
2015/03,1537,廣隆光電,3179278,1296080,4475358,926392,320390,1246782,815854,618809,1515881,189099,--,3139643,--,--,88933,3228576,0,0,0,38.48
2015/03,1538,正峰新,323951,1342544,1666495,513976,342382,856358,831358,--,-67078,45857,--,810137,--,--,--,810137,0,0,0,9.74
2015/03,1539,巨庭機械,1692052,813051,2505103,1237951,296468,1534419,653700,0,318740,-1756,--,970684,--,--,0,970684,0,0,0,14.85
2015/03,1540,喬福機械,1249952,409448,1659400,240860,25750,266610,854736,188163,380076,0,-30206,1392769,--,--,21,1392790,0,0,6105911,17.55
2015/03,1541,錩泰,1733429,653987,2387416,1163140,90278,1253418,788000,1364,335573,9061,--,1133998,--,--,--,1133998,0,0,0,14.39
2015/03,1558,伸興,4220916,1743681,5964597,1530902,213276,1744178,605526,1387345,2165626,33554,-2168,4189883,--,--,30536,4220419,0,--,17000,69.21
2015/03,1560,中砂,2058376,3071493,5129869,1047715,361134,1408849,1410000,1241869,1068483,668,--,--,--,--,--,3721020,0,0,0,26.39
2015/03,1568,倉佑,1426656,1548231,2974887,939553,438153,1377706,1030865,145471,278296,21461,--,1476093,--,--,121088,1597181,0,0,0,14.32
