年季,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,Unnamed: 21
2013/02,1464,得力實業,2388275.0,2427234.0,4815509.0,1942186.0,285981.00,2228167.0,2168960.0,144681.00,87069.0,8783.00,0.00,2409493.00,--,--,177849.00,2587342.0,0.0,0.0,11.11,
2013/02,1465,偉全實業,2255492.0,928831.0,3184323.0,903000.0,95245.00,998245.0,863394.0,353488.00,406497.0,37016.00,--,1660395.00,--,--,525683.00,2186078.0,0.0,0.0,19.23,
2013/02,1466,聚隆,1614481.0,1270686.0,2885167.0,895933.0,480602.00,1376535.0,952617.0,285934.00,270734.0,0.00,-653.00,1508632.00,--,--,0.00,1508632.0,0.0,91475.0,15.85,
2013/02,1467,南緯實業,3929716.0,2507672.0,6437388.0,2529945.0,1524725.00,4054670.0,1682098.0,60649.00,248176.0,-151485.00,--,1839438.00,--,--,543280.00,2382718.0,0.0,0.0,10.94,
2013/02,1468,昶和纖維,1237005.0,1286909.0,2523914.0,745013.0,453239.00,1198252.0,1604053.0,26753.00,-426719.0,64313.00,0.00,1268400.00,--,--,57262.00,1325662.0,0.0,0.0,7.91,
2013/02,1469,理隆纖維,722847.0,1337136.0,2059983.0,483111.0,25168.00,508279.0,1246000.0,455920.00,-150239.0,--,--,1551681.00,--,--,23.00,1551704.0,0.0,0.0,12.45,
2013/02,1470,大統染,567785.0,435029.0,1002814.0,96009.0,18897.00,114906.0,857670.0,6918.00,46578.0,-23258.00,--,--,--,--,--,887908.0,0.0,0.0,10.35,
2013/02,1471,首利,2486009.0,1763490.0,4249499.0,1620465.0,6069.00,1626534.0,2014677.0,450239.00,16785.0,141264.00,--,2622965.00,--,--,--,2622965.0,0.0,0.0,13.02,
2013/02,1472,三洋紡,486583.0,666212.0,1152795.0,771883.0,72538.00,844421.0,666500.0,0.00,-264230.0,1085.00,-59604.00,343751.00,--,--,-35377.00,308374.0,0.0,2208204.0,5.33,
2013/02,1473,台南企業,6528508.0,1966568.0,8495076.0,2380285.0,1208079.00,3588364.0,1468220.0,832459.00,1884898.0,15814.00,-58415.00,4142976.00,--,--,763736.00,4906712.0,0.0,1818000.0,28.57,
2013/02,1474,弘裕,1999877.0,1339017.0,3338894.0,1442988.0,194563.00,1637551.0,1378744.0,1106.00,385713.0,4975.00,-69195.00,1701343.00,--,--,--,1701343.0,0.0,7181402.0,13.02,
2013/02,1475,本盟光電,589241.0,512643.0,1101884.0,648178.0,47691.00,695869.0,525168.0,188125.00,-318811.0,-3900.00,--,390582.00,--,--,15433.00,406015.0,0.0,0.0,7.44,
2013/02,1476,儒鴻,7017409.0,4788334.0,11805743.0,4906027.0,286660.00,5192687.0,2509494.0,1152238.00,2932845.0,9176.00,0.00,6603753.00,--,--,9303.00,6613056.0,0.0,0.0,26.84,
2013/02,1477,聚陽實業,7989770.0,1444265.0,9434035.0,4203979.0,643608.00,4847587.0,1675976.0,1173917.00,1704292.0,1700.00,--,4555885.00,--,--,30563.00,4586448.0,0.0,0.0,27.18,
2013/02,1503,士電,11402356.0,19805085.0,31207441.0,7729054.0,4008706.00,11737760.0,5209722.0,2487312.00,11791801.0,-282208.00,0.00,19206627.00,--,--,263054.00,19469681.0,0.0,0.0,36.87,
2013/02,1504,東元電機,40785796.0,35443876.0,76229672.0,21508794.0,12791846.00,34300640.0,19220940.0,6627408.00,14705324.0,-1311533.00,-320839.00,38921300.00,--,--,3007732.00,41929032.0,49376800.0,22365800.0,20.49,
2013/02,1506,正道,1167814.0,1296625.0,2464439.0,675414.0,376235.00,1051649.0,1222516.0,72492.00,-31341.0,8135.00,--,1271802.00,--,--,140988.00,1412790.0,0.0,0.0,10.4,
2013/02,1507,永大機電,19604415.0,8627698.0,28232113.0,17257263.0,1685659.00,18942922.0,4108200.0,233969.00,4062787.0,810885.00,-69411.00,9146430.00,--,--,142761.00,9289191.0,0.0,2129800.0,22.38,
2013/02,1512,瑞利,2830491.0,3019694.0,5850185.0,2337011.0,1474733.00,3811744.0,1818025.0,40369.00,99047.0,17732.00,0.00,1975173.00,--,--,63268.00,2038441.0,0.0,0.0,10.86,
2013/02,1513,中興電,9002253.0,6070758.0,15073011.0,5994898.0,1562175.00,7557073.0,4800000.0,374116.00,1940777.0,264096.00,-129793.00,7249196.00,--,--,266742.00,7515938.0,0.0,10329917.0,15.43,
2013/02,1514,亞力電機,3118736.0,1778088.0,4896824.0,1917376.0,389989.00,2307365.0,2010670.0,101060.00,560788.0,1400.00,-147152.00,2526766.00,--,--,62693.00,2589459.0,0.0,8359112.0,13.11,
2013/02,1515,力山,2578855.0,1983629.0,4562484.0,2075861.0,355683.00,2431544.0,1814735.0,433.00,234913.0,54997.00,0.00,2105078.00,--,--,25862.00,2130940.0,0.0,0.0,11.6,
2013/02,1516,川飛,112244.0,70548.0,182792.0,12004.0,--,12004.0,253147.0,1705.00,-84064.0,0.00,0.00,--,--,--,--,170788.0,0.0,0.0,6.75,
2013/02,1517,利奇機械,3862964.0,1821244.0,5684208.0,1332512.0,831528.00,2164040.0,2278250.0,38010.00,822498.0,3149.00,--,3141907.00,--,--,378261.00,3520168.0,0.0,0.0,13.79,
2013/02,1519,華城電機,3486491.0,1702083.0,5188574.0,1976433.0,338318.00,2314751.0,2610585.0,1033.00,270429.0,-11982.00,--,2870065.00,--,--,3758.00,2873823.0,0.0,0.0,10.99,
2013/02,1521,大億,1732363.0,1311551.0,3043914.0,1364175.0,245932.00,1610107.0,762300.0,60472.00,607685.0,3350.00,--,1433807.00,--,--,--,1433807.0,0.0,0.0,18.81,
2013/02,1522,堤維西,9071150.0,9693513.0,18764663.0,8672037.0,4233092.00,12905129.0,3128979.0,1299621.00,581110.0,20044.00,-5996.00,5023758.00,--,--,835776.00,5859534.0,0.0,939707.0,16.1,
2013/02,1524,耿鼎企業,1487036.0,3803671.0,5290707.0,1457241.0,1881850.00,3339091.0,1624146.0,229835.00,184681.0,2490.00,-89536.00,1951616.00,--,--,0.00,1951616.0,0.0,5249253.0,12.42,
2013/02,1525,江申工業,919699.0,2509370.0,3429069.0,581709.0,246736.00,828445.0,692454.0,1251.00,1862899.0,44020.00,0.00,2600624.00,--,--,--,2600624.0,0.0,0.0,37.56,
2013/02,1526,日馳,523276.0,444747.0,968023.0,276931.0,225967.00,502898.0,500000.0,--,-35740.0,865.00,--,465125.00,--,--,0.00,465125.0,0.0,0.0,9.3,
2013/02,1527,鑽全,10586713.0,1433366.0,12020079.0,9154262.0,320359.00,9474621.0,1532896.0,305.00,1099021.0,-86764.00,0.00,2545458.00,--,--,0.00,2545458.0,0.0,0.0,16.61,
2013/02,1528,恩德,3461277.0,1259587.0,4720864.0,1661210.0,970802.00,2632012.0,1470000.0,304206.00,276842.0,14649.00,0.00,2065697.00,--,--,23155.00,2088852.0,0.0,0.0,14.05,
2013/02,1529,樂士,200602.0,483924.0,684526.0,154567.0,21530.00,176097.0,2497089.0,2320.00,-1990980.0,0.00,0.00,508429.00,--,--,0.00,508429.0,0.0,0.0,2.04,
2013/02,1530,亞崴機電,3143520.0,1367430.0,4510950.0,1998296.0,207626.00,2205922.0,949525.0,246528.00,1198148.0,10990.00,-100163.00,2305028.00,--,--,--,2305028.0,0.0,2958000.0,25.06,
2013/02,1531,高林股,4378037.0,1936139.0,6314176.0,1393032.0,349785.00,1742817.0,1931511.0,338901.00,1956346.0,2112.00,--,4228870.00,--,--,342489.00,4571359.0,0.0,0.0,21.89,
2013/02,1532,勤美,21538923.0,16849461.0,38388384.0,13636556.0,8250701.00,21887257.0,3859374.0,1614818.00,3765673.0,530063.00,--,9769928.00,--,--,6731199.00,16501127.0,0.0,0.0,25.31,
2013/02,1533,車王電,2496736.0,1287627.0,3784363.0,1314397.0,584500.00,1898897.0,964152.0,275871.00,699181.0,-23846.00,-29900.00,1885458.00,--,--,8.00,1885466.0,0.0,1658000.0,19.9,
2013/02,1535,中宇,6033959.0,1307635.0,7341594.0,4061374.0,416465.00,4477839.0,1218659.0,547132.00,1011152.0,86812.00,0.00,2863755.00,--,--,0.00,2863755.0,0.0,0.0,23.5,
2013/02,1536,和大工業,2480705.0,3768160.0,6248865.0,2355648.0,1556661.00,3912309.0,1924203.0,33401.00,336810.0,-9500.00,--,2284914.00,--,--,51642.00,2336556.0,0.0,0.0,11.87,
