年,季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2016,01,2114,鑫永銓,373418,228033,145385,--,--,145385,35758,--,109627,-14896,94731,15954,78777,--,--,78777,28,--,78805,79218,--,-441,79236,--,-431,1.17
2016,01,2115,六暉-KY,617421,462173,155248,--,--,155248,68336,--,86912,1217,88129,22599,65530,--,--,65530,-28822,--,36708,65530,--,--,36708,--,--,0.88
2016,01,2201,裕隆汽車,29461746,24626366,4835380,--,-2134,4833246,4176859,--,656387,476685,1133072,347242,785830,--,--,785830,-297946,--,487884,628866,--,156964,333556,--,154328,0.43
2016,01,2204,中華汽車,10838415,8790934,2047481,13267,--,2034214,1159667,--,874547,439707,1314254,151164,1163090,--,--,1163090,-85370,--,1077720,1045130,--,117960,969576,--,108144,0.77
2016,01,2206,三陽工業,7121605,5958734,1162871,--,--,1162871,1207123,--,-44252,132089,87837,57558,30279,0,--,30279,-131181,--,-100902,25317,--,4962,-94989,--,-5913,0.03
2016,01,2207,和泰汽車,40176914,34691375,5485539,45395,49409,5489553,3048752,--,2440801,1045385,3486186,504703,2981483,--,--,2981483,-54297,--,2927186,2678985,--,302498,2635641,--,291545,4.90
2016,01,2208,台船公司,4550410,4410452,139958,--,--,139958,120080,--,19878,30288,50166,9084,41082,--,--,41082,--,--,41082,40708,--,374,40708,--,374,0.05
2016,01,2227,裕隆日產,9502882,8058297,1444585,--,--,1444585,1061975,0,382610,936776,1319386,227023,1092363,--,--,1092363,-288701,--,803662,1092363,--,--,803662,--,--,3.64
2016,01,2228,劍麟,1098938,736227,362711,--,--,362711,131434,--,231277,6038,237315,57079,180236,--,--,180236,-30540,--,149696,180236,--,--,149696,--,--,2.39
2016,01,2231,為升,827320,366891,460429,--,--,460429,103282,--,357147,-41206,315941,45461,270480,0,--,270480,5201,--,275681,267373,--,3107,273100,--,2581,3.20
2016,01,2236,百達-KY,496781,361890,134891,--,--,134891,70686,--,64205,29,64234,17864,46370,--,--,46370,-9534,--,36836,36090,--,10280,29471,--,7365,1.07
2016,01,2239,英利-KY,3069697,2340316,729381,--,--,729381,292591,--,436790,-12210,424580,93005,331575,--,--,331575,-53247,--,278328,331575,0,--,278328,0,--,3.09
2016,01,2301,光寶科技,49842055,43250498,6591557,--,--,6591557,4554492,--,2037065,191766,2228831,567450,1661381,--,--,1661381,-901074,--,760307,1707943,--,-46562,815212,--,-54905,0.74
2016,01,2302,麗正,126865,92607,34258,--,--,34258,49280,--,-15022,24017,8995,183,8812,0,--,8812,-9360,--,-548,8812,--,0,-548,--,0,0.05
2016,01,2303,聯電,34404079,29370086,5033993,--,--,5033993,5064545,14104,-16448,46537,30089,-49091,79180,--,--,79180,-583224,--,-504044,209632,--,-130452,-356519,--,-147525,0.02
2016,01,2305,全友電腦,163147,102602,60545,--,--,60545,84344,--,-23799,538439,514640,125642,388998,--,--,388998,-36229,--,352769,388123,--,875,352497,--,272,1.91
2016,01,2308,台達電,47607216,34780621,12826595,--,--,12826595,8957474,--,3869121,1366153,5235274,1188959,4046315,--,--,4046315,-2461231,--,1585084,3886768,--,159547,1491336,--,93748,1.50
2016,01,2311,日月光,62371082,50921801,11449281,--,--,11449281,6243252,--,5206029,449810,5655839,1318243,4337596,--,--,4337596,-1482031,--,2855565,4163477,--,174119,2813711,--,41854,0.54
2016,01,2312,金寶電子,28289227,26561099,1728128,--,--,1728128,1577604,--,150524,734036,884560,309591,574969,--,--,574969,-84580,--,490389,447751,--,127218,348876,--,141513,0.33
2016,01,2313,華通,9389380,8297812,1091568,--,--,1091568,512034,3991,583525,-270759,312766,50760,262006,--,--,262006,-177949,--,84057,262006,--,0,84057,--,0,0.22
2016,01,2314,台揚科技,2025612,1663921,361691,--,--,361691,284312,--,77379,-5487,71892,19861,52031,--,--,52031,-23038,--,28993,52031,--,0,28994,--,-1,0.13
2016,01,2316,楠梓電,1112325,1023073,89252,--,--,89252,103605,--,-14353,-39394,-53747,-11634,-42113,--,--,-42113,-52842,--,-94955,-42113,--,--,-94955,--,--,-0.14
2016,01,2317,鴻海,958009217,890432744,67576473,--,--,67576473,32251809,--,35324664,981284,36305948,8757088,27548860,--,--,27548860,-10339212,--,17209648,27576758,--,-27898,17356937,--,-147289,1.76
2016,01,2321,東訊,1002010,887997,114013,--,--,114013,108276,--,5737,2313,8050,--,8050,--,--,8050,94213,--,102263,8731,--,-681,102944,--,-681,0.03
2016,01,2323,中環,2799172,2677383,121789,--,--,121789,439740,--,-317951,-51055,-369006,14198,-383204,--,--,-383204,-66513,--,-449717,-387970,--,4766,-456413,--,6696,-0.19
2016,01,2324,仁寶電腦,176649808,169167762,7482046,--,--,7482046,4705638,--,2776408,-477627,2298781,552518,1746263,--,--,1746263,-822277,--,923986,1601242,--,145021,803759,--,120227,0.37
2016,01,2325,矽品,19299310,15329416,3969894,--,--,3969894,2081685,--,1888209,10032,1898241,294213,1604028,--,--,1604028,203834,--,1807862,1604028,--,0,1807862,--,0,0.51
2016,01,2327,國巨,7312432,5510561,1801871,--,--,1801871,754469,--,1047402,-93597,953805,132156,821649,--,--,821649,-633170,--,188479,809835,--,11814,178800,--,9679,1.25
2016,01,2328,廣宇,3329088,2981162,347926,--,--,347926,270561,--,77365,-26070,51295,29587,21708,--,--,21708,-29705,--,-7997,-20702,--,42410,-24815,--,16818,-0.04
2016,01,2329,華泰電子,4056851,3420427,636424,--,--,636424,288873,--,347551,-70798,276753,48346,228407,0,--,228407,-17832,--,210575,225064,--,3343,210263,--,312,0.28
2016,01,2330,台積電,203495361,112124894,91370467,32889,--,91337578,20878997,8733,70467314,1788585,72255899,7463302,64792597,--,--,64792597,-6498162,--,58294435,64781493,--,11104,58284228,--,10207,2.50
2016,01,2331,精英,6950883,6069707,881176,--,--,881176,748083,--,133093,44988,178081,31283,146798,--,--,146798,-137588,--,9210,130402,--,16396,-4834,--,14044,0.23
2016,01,2332,友訊科技,5939068,4357626,1581442,--,--,1581442,1769722,--,-188280,13278,-175002,35012,-210014,--,--,-210014,17087,--,-192927,-213528,--,3514,-186102,--,-6825,-0.34
2016,01,2337,旺宏,5086289,4295691,790598,0,22,790620,1595944,--,-805324,-84566,-889890,897,-890787,0,--,-890787,-108108,--,-998895,-889589,--,-1198,-997601,--,-1294,-0.25
